m,R : score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1333,773,1110.83,337.833,69.58760566,,0.191512003,,,
1380,791,1150,359,68.7826087,,0.134965217,,,
1355,771,1129.17,358.167,68.28024124,,0.756453896,,,
1294,756,1078.33,322.333,70.10840837,,0.918575705,,,
1324,772,1103.33,331.333,69.96999991,,0.672424747,,,
1369,789,1140.83,351.833,69.16017286,,0.000103796,,,
1327,753,1105.83,352.833,68.09364911,,1.115845123,,,
1342,794,1118.33,324.333,70.99872131,,3.417826601,,,
1273,719,1060.83,341.833,67.77711792,,1.884763533,,,
1316,771,1096.67,325.667,70.30373768,,1.331145659,,,
1352,777,1126.67,349.667,68.96429301,,0.03448145,,,
1356,781,1130,349,69.11504425,,0.001220844,,,
1365,784,1137.5,353.5,68.92307692,,0.051487194,,,
1259,716,1049.17,333.167,68.24442178,,0.820044418,,,
1316,782,1096.67,314.667,71.30677414,,4.651740186,,,
1364,799,1136.67,337.667,70.29304899,,1.306595706,,,
1372,799,1143.33,344.333,69.88358567,,0.538170202,,,
1418,827,1181.67,354.667,69.98569821,,0.698416865,,,
1319,742,1099.17,357.167,67.50548141,,2.70439147,,,
1360,796,1133.33,337.333,70.23550069,,1.17834471,,,
1357,777,1130.83,353.833,68.7105931,,0.19306508,,,
1322,756,1101.67,345.667,68.6230904,,0.277617731,,,
1444,829,1203.33,374.333,68.8921576,,0.066474877,,,
1334,749,1111.67,362.667,67.37610982,,3.146632527,,,
1301,752,1084.17,332.167,69.36181595,,0.044872428,,,
